Pharmaceutical Society of Ireland,,,,,,,,,
This data is correct at: 01.07.2022,,,,,,,,,
Registration Number,Trading Name,Street 1,Street 2,Street 3,Town,County,RPB Owner,Eircode,Address 1
7912,Matt O'Flaherty Chemists,An Creagan,,,Barna,Co. Galway,MOFC (BA) Limited,,"An Creagan
Barna, Co. Galway"
7913,Drinagh Pharmacy Schull,Main Street,Meenvane,,Schull,Co. Cork,Drinagh Co-operative Limited,,"Main Street
Meenvane
Schull, Co. Cork"
7914,McCrystal's Staywell Pharmacy,Main Street,,,Virginia,Co. Cavan,Ramor Medical Limited,,"Main Street
Virginia, Co. Cavan"
7917,Chemco Pharmacy,7 Market Street,,,Listowel,Co. Kerry,O'Connors Pharmacy & Opticians Limited,,"7 Market Street
Listowel, Co. Kerry"
7918,Hyland's CarePlus Pharmacy,Main Street,,,Templemore,Co. Tipperary,Galbreac Limited,,"Main Street
Templemore, Co. Tipperary"
7919,Hickey's Pharmacy,5c Baker's Road,Gurranabraher,,Cork City,Co. Cork,Humarock Limited,,"5c Baker's Road
Gurranabraher
Cork City, Co. Cork"
7920,Hickey's Pharmacy,Supervalu Shopping Centre,"Old Youghal Road, Mayfield",,Cork,Co. Cork,Halliston Limited,,"Supervalu Shopping Centre
Old Youghal Road, Mayfield
Cork, Co. Cork"
7921,Life Pharmacy Foley's,Unit 1 Ballyowen Castle Shopping Centre,,,Lucan,Co. Dublin,Frances Foley's Community Pharmacy Limited ,,"Unit 1 Ballyowen Castle Shopping Centre
Lucan, Co. Dublin"
7922,Killeens Pharmacy,Killeens,New Line Road,,Wexford Town,Co. Wexford,Hillview Pharmacy Limited,Y35 ET3F,"Killeens
New Line Road
Wexford Town, Co. Wexford Y35 ET3F"
7923,Murtagh's Pharmacy Athboy,Main Street,,,Athboy,Co. Meath,Staunton's Life Pharmacy Limited,,"Main Street
Athboy, Co. Meath"
7924,First Choice Pharmacy,Instore Tesco,"Matthews Lane, Donore Road",,Drogheda,Co. Louth,First Choice Pharmacy (Drogheda) Limited,,"Instore Tesco
Matthews Lane, Donore Road
Drogheda, Co. Louth"
7925,Point of Care Pharmacy,645 Jordanstown Drive,Greenogue Business Park,,Jordanstown,Co. Dublin,Point of Care Health Services Limited,,"645 Jordanstown Drive
Greenogue Business Park
Jordanstown, Co. Dublin"
7927,Active Life Pharmacy,Unit 27A,Talbot Mall,,,Dublin 1,Active Life Pharmacy Limited,,"Unit 27A
Talbot Mall
Dublin 1"
7928,Hickey's Pharmacy,26 Oliver Plunkett Road,,,Dun Laoghaire,Co. Dublin,Monkstown Pharmacy Limited,A96 DX89,"26 Oliver Plunkett Road
Dun Laoghaire, Co. Dublin A96 DX89"
7929,McCartan's Pharmacy,Unit 2 Portmarnock Shopping Centre,Wendell Avenue,,Portmarnock,Co. Dublin,GLF Property Limited,,"Unit 2 Portmarnock Shopping Centre
Wendell Avenue
Portmarnock, Co. Dublin"
7933,Pure Pharmacy,66 St. Agnes Road,,,Crumlin,Dublin 12,DBDC Three Limited,D12Y16H,"66 St. Agnes Road
Crumlin, Dublin 12 D12Y16H"
7936,O'Shaughnessy's Pharmacy,Haggard Street,,,Trim,Co. Meath,O'Shaughnessy's Pharmacy Limited,,"Haggard Street
Trim, Co. Meath"
7937,Clonsilla Pharmacy,"Unit 1, The Thatch",Weaver's Row,,Clonsilla,Dublin 15,Tom Ginnety Pharmacies Limited,,"Unit 1, The Thatch
Weaver's Row
Clonsilla, Dublin 15"
7938,Pure Pharmacy,11 - 12 Redmond's Hill,,,,Dublin 2,DBDC Two Limited,,"11 - 12 Redmond's Hill
Dublin 2"
7939,Scanlon's Late Night Pharmacy,Unit 6,Chawke's Garage,,Castletroy,Co. Limerick,S & L Pharmacies Limited,,"Unit 6
Chawke's Garage
Castletroy, Co. Limerick"
7940,Scanlon's Pharmacy,Unit 5,Northtown Shopping Centre,,"Ennis Road, Limerick",Co. Limerick,Ashbrook Pharmacies Limited,,"Unit 5
Northtown Shopping Centre
Ennis Road, Limerick, Co. Limerick"
7941,Scanlon's Express Late Night Pharmacy,"Unit 3, Mount Kenneth","Shannon Bridge, Dock Road",,Limerick,Co. Limerick,DSL Retailers LTD,,"Unit 3, Mount Kenneth
Shannon Bridge, Dock Road
Limerick, Co. Limerick"
7942,McCauley Health & Beauty Pharmacy,Bedford Medical Centre,"Convent Road, Athlumney",,Navan,Co. Meath,Nolans Pharmacy Limited,,"Bedford Medical Centre
Convent Road, Athlumney
Navan, Co. Meath"
7943,McCauley Health & Beauty Pharmacy,Navan Shopping Centre,Kennedy Road,,Navan,Co. Meath,Nolans Pharmacy Limited,,"Navan Shopping Centre
Kennedy Road
Navan, Co. Meath"
7944,Avec Homecare Pharmacy,Unit 3,Horizon Logistics Park,,Harristown,Co. Dublin,AVEC LOGISTICS (IRELAND) LIMITED,,"Unit 3
Horizon Logistics Park
Harristown, Co. Dublin"
7945,Marley Park Pharmacy,Unit 3,Grange Road Retail Centre,,Rathfarnham,Dublin 16,Jabez Limited,,"Unit 3
Grange Road Retail Centre
Rathfarnham, Dublin 16"
7946,Stack's Pharmacy,"Unit 5, Holmpatrick Shopping Centre",Shenick Road,,Skerries,Co. Dublin,Jabez Limited,,"Unit 5, Holmpatrick Shopping Centre
Shenick Road
Skerries, Co. Dublin"
7947,Kilroy's CarePlus Pharmacy,Emmet Street,,,Ballina,Co. Mayo,Balmoy Limited,,"Emmet Street
Ballina, Co. Mayo"
7949,Gorey Pharmacy,St. Michael's Road,,,Gorey,Co. Wexford,Jabez Limited,,"St. Michael's Road
Gorey, Co. Wexford"
7950,Bettystown Pharmacy,Coast Road,,,Bettystown,Co. Meath,Jabez Limited,,"Coast Road
Bettystown, Co. Meath"
7952,Stack's Pharmacy (Ratoath),"Units 2-3, Supervalu Shopping Centre",,,Ratoath,Co. Meath,Jabez Limited,,"Units 2-3, Supervalu Shopping Centre
Ratoath, Co. Meath"
7953,Stack's Pharmacy,Main Street,,,Castledermot,Co. Kildare,Jabez Limited,,"Main Street
Castledermot, Co. Kildare"
7954,Stack's CarePlus Pharmacy,Albany House,Main Street,,Swords,Co. Dublin,Jabez Limited,,"Albany House
Main Street
Swords, Co. Dublin"
7955,Stack's Pharmacy,"Unit 13, Main Street",Clongriffin Town Centre,,Clongriffin,Dublin 13,Jabez Limited,,"Unit 13, Main Street
Clongriffin Town Centre
Clongriffin, Dublin 13"
7956,Kissane's Pharmacy,Market Street,,,Thomastown,Co. Kilkenny,Thomastown Pharmacy Limited,,"Market Street
Thomastown, Co. Kilkenny"
7957,O'Donovan's Life Pharmacy,4 Pearse Square,,,Ballyphehane,Co. Cork,Diarmuid O'Donovan (Pharmacist) LTD,,"4 Pearse Square
Ballyphehane, Co. Cork"
7958,The Peoples Pharmacy,Watch House Shopping Centre,Watch House Cross,,Limerick,Co. Limerick,Jabez Limited,,"Watch House Shopping Centre
Watch House Cross
Limerick, Co. Limerick"
7960,Haven Pharmacy Faheys,Patrick Street,,,Tullamore,Co. Offaly,Minneolo Limited,,"Patrick Street
Tullamore, Co. Offaly"
7961,Grants Pharmacy ,Rafter Street,,,Enniscorthy,Co. Wexford,Grants Pharmacy (Enniscorthy) Limited,,"Rafter Street
Enniscorthy, Co. Wexford"
7963,Kilbarrack Pharmacy ,"Units 17-18, Kilbarrack Shopping Centre",,,Kilbarrack,Dublin 5,Jabez Limited,,"Units 17-18, Kilbarrack Shopping Centre
Kilbarrack, Dublin 5"
7964,McCauley Health & Beauty Pharmacy,59 Leinster Street,,,Athy,Co. Kildare,SGI Medical Limited,,"59 Leinster Street
Athy, Co. Kildare"
7965,Pure Pharmacy,Unit 3,31 Deansgrange Road,,Blackrock,Co. Dublin,DBDC Four Limited,,"Unit 3
31 Deansgrange Road
Blackrock, Co. Dublin"
7966,McCormack's Pharmacy,Main Street,,,Ballylanders,Co. Limerick,Melfer Ballylanders Limited,,"Main Street
Ballylanders, Co. Limerick"
7967,"Haven  Pharmacy, Branch Road",Lower Branch Road,,,Tramore,Co. Waterford,Garraun Pharmacy Limited,,"Lower Branch Road
Tramore, Co. Waterford"
7968,Stack's Pharmacy,Units 4-5,Harts Corner,,Glasnevin,Dublin 9,Jabez Limited,,"Units 4-5
Harts Corner
Glasnevin, Dublin 9"
7969,Stack's Pharmacy,Unit 2 ,Darndale Belcamp Village Centre,,Darndale,Dublin 17,Jabez Limited,,"Unit 2 
Darndale Belcamp Village Centre
Darndale, Dublin 17"
7970,McCauley Health & Beauty Pharmacy,Block 3,Charlemont Square,,Charlemont Street,Dublin 2,Sam McCauley Chemists (1039) Limited,,"Block 3
Charlemont Square
Charlemont Street, Dublin 2"
7971,Goatstown Pharmacy,Unit 5,The Goat Centre,,Lower Kilmacud Road,Dublin 14,Robur Medical Limited,,"Unit 5
The Goat Centre
Lower Kilmacud Road, Dublin 14"
7973,Medipharm,7 Arbourfield Terrace,Dundrum Road,,Dundrum,Dublin 14,Medipharm Retail Dundrum Limited,,"7 Arbourfield Terrace
Dundrum Road
Dundrum, Dublin 14"
7974,Bluebell Pharmacy,12 La Touche Road,,,Bluebell,Dublin 12,Bluebell Pharmacy LTD,,"12 La Touche Road
Bluebell, Dublin 12"
7975,Park's Pharmacy,62 Lower Dorset Street,,,,Dublin 1,M & H Piao Pharmacy LTD,,"62 Lower Dorset Street
Dublin 1"
7977,Tullow Pharmacy,The Square,,,Tullow,Co. Carlow,Jabez Limited,,"The Square
Tullow, Co. Carlow"
7978,Pophams Road Pharmacy,12 Pophams Road,,,Cork,Co. Cork,Phrose Management Limited,,"12 Pophams Road
Cork, Co. Cork"
7979,McFadden's Pharmacy (Shopping Centre),Letterkenny Shopping Centre,27-28 Port Road,,Letterkenny,Co. Donegal,Latrobe Pharmacy Limited,,"Letterkenny Shopping Centre
27-28 Port Road
Letterkenny, Co. Donegal"
7980,McFadden's Pharmacy Oldtown,Larkin House,Oldtown Road,,Letterkenny,Co. Donegal,Latrobe Pharmacy Limited,,"Larkin House
Oldtown Road
Letterkenny, Co. Donegal"
7981,O'Sullivan's Pharmacy,6 - 10 O'Connell Street,,,Ennis,Co. Clare,OSPG Limited,,"6 - 10 O'Connell Street
Ennis, Co. Clare"
7983,Matt O'Flaherty Pharmacy,Galway Shopping Centre,Headford Road,,Galway,Co. Galway,Cofla (Galway) Limited,,"Galway Shopping Centre
Headford Road
Galway, Co. Galway"
7985,Mullany's Pharmacy,Main Street (Market Square),,,Portarlington,Co. Laois,O'Sullivan Mullany Pharmacy Limited,,"Main Street (Market Square)
Portarlington, Co. Laois"
7986,Allcare Pharmacy,Knightsbridge Nursing Home,,,Trim,Co. Meath,Pyramach Limited,,"Knightsbridge Nursing Home
Trim, Co. Meath"
7987,Adrian Dunne Pharmacy,Unit 11 ,Tesco Shopping Centre,,Ashbourne,Co. Meath,Chemash Limited,,"Unit 11 
Tesco Shopping Centre
Ashbourne, Co. Meath"
7988,Power's Pharmacy,33 Ballybricken,,,Waterford City,Co. Waterford,Powers Chemist Ballybricken Limited,,"33 Ballybricken
Waterford City, Co. Waterford"
7989,Matt O'Flaherty  Chemists,William Street,,,Galway,Co. Galway,Cofla (Galway) Limited,,"William Street
Galway, Co. Galway"
7990,College Road Pharmacy,63 College Road,,,Cork,Co. Cork,Phrose Management Limited,,"63 College Road
Cork, Co. Cork"
7991,Stack's Pharmacy,Lusk Shopping Centre,Station Road,,Lusk,Co. Dublin,Jabez Limited,,"Lusk Shopping Centre
Station Road
Lusk, Co. Dublin"
7992,Costelloe's of Callan,Green Street,,,Callan,Co. Kilkenny,Jabez Limited,,"Green Street
Callan, Co. Kilkenny"
7993,"B. Glennon B. Sc. (Pharm) MPSI, Sandycove Pharmacy",60 Glasthule Road,,,Dun Laoghaire,Co. Dublin,Sandycove Pharmacy Limited,,"60 Glasthule Road
Dun Laoghaire, Co. Dublin"
7994,O'Connell's at Lakelands Pharmacy,7 Lakelands Road,Upper Kilmacud Road,,Stillorgan,Co. Dublin,Natural Networks LTD,,"7 Lakelands Road
Upper Kilmacud Road
Stillorgan, Co. Dublin"
7995,Mullan's Pharmacy,Units 2-3,Supervalu Shopping Centre,,Carndonagh,Co. Donegal,Mullans Pharmacy Limited,,"Units 2-3
Supervalu Shopping Centre
Carndonagh, Co. Donegal"
7996,Crowley's Pharmacy,49 Pearse Street,,,Clonakilty,Co. Cork,Deerfield Limited,,"49 Pearse Street
Clonakilty, Co. Cork"
7997,McElwee Pharmacy Limited,Carnmore Road,,,Dungloe,Co. Donegal,McElwee Pharmacy Limited,,"Carnmore Road
Dungloe, Co. Donegal"
7998,McElwee Pharmacy Limited,17 Main Street,,,Dungloe,Co. Donegal,McElwee Pharmacy Limited,,"17 Main Street
Dungloe, Co. Donegal"
7999,Healthwise Pharmacy,Greene's Corner,,,Dungloe,Co. Donegal,Dungloe Pharmacy Limited,F94 Y895,"Greene's Corner
Dungloe, Co. Donegal F94 Y895"
8002,Slevin's Pharmacy,Old AIB Building,Bridge Street,,Lifford,Co. Donegal,MK Pharma Health Limited,,"Old AIB Building
Bridge Street
Lifford, Co. Donegal"
8003,Haven Pharmacy Farmers,1 Leopardstown Valley Shopping Centre,Ballyogan Road,,Sandyford,Dublin 18,L & L Pharmacy Limited,,"1 Leopardstown Valley Shopping Centre
Ballyogan Road
Sandyford, Dublin 18"
8004,Haven Pharmacy Farmers,56 Main Street,,,Dundrum,Dublin 14,Drumpharm Limited,,"56 Main Street
Dundrum, Dublin 14"
8005,Haven Pharmacy Farmers,Unit 34 The Mall,Beacon Court,,Sandyford,Dublin 18,Cliffvale Ltd,,"Unit 34 The Mall
Beacon Court
Sandyford, Dublin 18"
8006,Maher's CarePlus Pharmacy,30 Liberty Square,,,Thurles,Co. Tipperary,Eugene Daly,,"30 Liberty Square
Thurles, Co. Tipperary"
8007,McCormack's Pharmacy,Unit 16A Newbridge Retail Park,Athgarvan Road,,Newbridge,Co. Kildare,Melfer Newbridge Limited,W12 HP52,"Unit 16A Newbridge Retail Park
Athgarvan Road
Newbridge, Co. Kildare W12 HP52"
8009,Liberties CarePlus Pharmacy,36 Thomas Street,,,,Dublin 8,ATRIUM CAPITAL LTD,,"36 Thomas Street
Dublin 8"
8010,Q Health Pharmacy,1 Kilkenny Street,,,Castlecomer,Co. Kilkenny,Brayton Ltd,,"1 Kilkenny Street
Castlecomer, Co. Kilkenny"
8011,Hanley's Chemist,20 Shannon Street,,,Limerick,Co. Limerick,Michael Hanley Chemists Ltd,V94 DT04,"20 Shannon Street
Limerick, Co. Limerick V94 DT04"
8012,Falvey's Pharmacy,17 Bridge Street,,,Cork City,Co. Cork,Astonpharm Ltd,,"17 Bridge Street
Cork City, Co. Cork"
8013,Weir's Pharmacy,54-56 Pearse Street,,,Mullingar,Co. Westmeath,Multipharm Limited,,"54-56 Pearse Street
Mullingar, Co. Westmeath"
8014,Falvey's Pharmacy Limited,Douglas Village Shopping Centre,Douglas,,Cork ,Co. Cork,FALVEY'S PHARMACY LIMITED,,"Douglas Village Shopping Centre
Douglas
Cork , Co. Cork"
8015,LloydsPharmacy,Rosslare Shopping Centre,Rosslare Harbour,,Rosslare,Co. Wexford,Lloydspharmacy Ireland Limited,,"Rosslare Shopping Centre
Rosslare Harbour
Rosslare, Co. Wexford"
8016,LloydsPharmacy,Unit 6-7 ,Supervalu Shopping Centre,,Ballincollig,Co. Cork,Lloydspharmacy Ireland Limited,,"Unit 6-7 
Supervalu Shopping Centre
Ballincollig, Co. Cork"
8017,LloydsPharmacy,Unit 4 Letterkenny Town Centre,Pearse Road,,Letterkenny,Co. Donegal,Lloydspharmacy Ireland Limited,,"Unit 4 Letterkenny Town Centre
Pearse Road
Letterkenny, Co. Donegal"
8018,LloydsPharmacy,Unit 12 Castle Street S.C.,Castle Street,,Bray,Co. Wicklow,Lloydspharmacy Ireland Limited,,"Unit 12 Castle Street S.C.
Castle Street
Bray, Co. Wicklow"
8019,LloydsPharmacy,10-11 Ashe Street,,,Tralee,Co. Kerry,Lloydspharmacy Ireland Limited,,"10-11 Ashe Street
Tralee, Co. Kerry"
8020,LloydsPharmacy,Friar Street,,,Thurles,Co. Tipperary,Lloydspharmacy Ireland Limited,,"Friar Street
Thurles, Co. Tipperary"
8021,LloydsPharmacy ,102 North Main Street,,,Youghal,Co. Cork,Lloydspharmacy Ireland Limited,,"102 North Main Street
Youghal, Co. Cork"
8022,LloydsPharmacy,Main Street ,,,Baltinglass,Co. Wicklow,Lloydspharmacy Ireland Limited,,"Main Street 
Baltinglass, Co. Wicklow"
8024,LloydsPharmacy,Crookstown ,Ballytore,,Athy,Co. Kildare,Lloydspharmacy Ireland Limited,,"Crookstown 
Ballytore
Athy, Co. Kildare"
8025,LloydsPharmacy,Fairies Cross,,,Tralee,Co. Kerry,Lloydspharmacy Ireland Limited,,"Fairies Cross
Tralee, Co. Kerry"
8026,LloydsPharmacy,Wellingtonbridge,,,Wellingtonbridge,Co. Wexford,Lloydspharmacy Ireland Limited,,"Wellingtonbridge
Wellingtonbridge, Co. Wexford"
8027,LloydsPharmacy,"Unit 8 Centrepoint,","Castletroy S.C.,",,Castleyroy,Co. Limerick,Lloydspharmacy Ireland Limited,,"Unit 8 Centrepoint,
Castletroy S.C.,
Castleyroy, Co. Limerick"
8028,LloydsPharmacy,83 Main Street,,,Carrick-On-Suir,Co. Tipperary,Lloydspharmacy Ireland Limited,,"83 Main Street
Carrick-On-Suir, Co. Tipperary"
8029,LloydsPharmacy,The Lough Shopping Centre,Togher,,Cork,Co. Cork,Lloydspharmacy Ireland Limited,,"The Lough Shopping Centre
Togher
Cork, Co. Cork"
8030,Maguire's Pharmacy,15 Main Street,,,Ballyshannon,Co. Donegal,Ballyshannon Pharma Limited,,"15 Main Street
Ballyshannon, Co. Donegal"
8031,O'Sullivan's Pharmacy,Unit A,"Park Lodge, Dublin Road",,Limerick,Co. Limerick,OSPG Limited,,"Unit A
Park Lodge, Dublin Road
Limerick, Co. Limerick"
8032,Inish Pharmacy,"Unit 1, Carndonagh Shopping Centre",Church Street,,Carndonagh,Co. Donegal,Inish Health Limited,F93 YF65,"Unit 1, Carndonagh Shopping Centre
Church Street
Carndonagh, Co. Donegal F93 YF65"
8033,McCauley Health & Beauty Pharmacy,4 South Street,,,New Ross,Co. Wexford,Sam McCauley Chemists (New Ross) Limited,,"4 South Street
New Ross, Co. Wexford"
8034,Hilton's Pharmacy,1 Quinsborough Road,,,Bray,Co. Wicklow,Hilton’s Pharmacy Limited,A98 DX68,"1 Quinsborough Road
Bray, Co. Wicklow A98 DX68"
8036,Conaty's CarePlus Pharmacy,Unit 1 Lidl Shopping Centre,Main Street,,Dunshaughlin,Co. Meath,Conaty's CarePlus Dunshaughlin Limited,,"Unit 1 Lidl Shopping Centre
Main Street
Dunshaughlin, Co. Meath"
8039,Mary Jo Duffy Pharmacy,Units 16-17 Tesco Shopping Centre,Francis Street,,Ennis,Co. Clare,Duffy's Pharmacy (Ennis) Limited,,"Units 16-17 Tesco Shopping Centre
Francis Street
Ennis, Co. Clare"
8040,Pure Pharmacy,2 Lower Kilmacud Road,,,Stillorgan,Co. Dublin,DBDC Five Limited,,"2 Lower Kilmacud Road
Stillorgan, Co. Dublin"
8041,O'Dwyer's Pharmacy,Main Street,,,Wicklow Town,Co. Wicklow,Tradeglen Limited,,"Main Street
Wicklow Town, Co. Wicklow"
8042,Castle Pharmacy,Main Street,,,Castlemartyr,Co. Cork,Castlemartyr Pharmacy Ltd,,"Main Street
Castlemartyr, Co. Cork"
8043,Fiona Roche Pharmacy,Roches Clinic,Blacklion,,Greystones,Co. Wicklow,Greystones Rochecare Limited,A63 PH61,"Roches Clinic
Blacklion
Greystones, Co. Wicklow A63 PH61"
8044,O'Reillys CarePlus Pharmacy,Number 7,Poplar Square,,Naas,Co. Kildare,Naas CarePlus Pharmacy Ltd,,"Number 7
Poplar Square
Naas, Co. Kildare"
8045,O'Gorman's Pharmacy,52 Gladstone Street,,,Clonmel,Co. Tipperary,Gladstone Pharmacy Limited,,"52 Gladstone Street
Clonmel, Co. Tipperary"
8046,Stack's Pharmacy,Unit 3 & 4 Pembroke Centre,Rochestown Road,,Passage West,Co. Cork,Jabez Limited,,"Unit 3 & 4 Pembroke Centre
Rochestown Road
Passage West, Co. Cork"
8047,P. J. Lavelle Chemist LTD,Main Street,,,Belmullet,Co. Mayo,Patrick J. Lavelle Chemist Limited,,"Main Street
Belmullet, Co. Mayo"
8048,Ryder's Pharmacy,Main Street,,,Headford,Co. Galway,Ryderchem Limited,,"Main Street
Headford, Co. Galway"
8049,McCormack's Pharmacy,23 Bolton Street,,,Clonmel,Co. Tipperary,Melfer Limited,,"23 Bolton Street
Clonmel, Co. Tipperary"
8050,Erris Pharmacy,Curlew Hill,Church Road,,Belmullet,Co. Mayo,Belmullet Pharmacy Limited,,"Curlew Hill
Church Road
Belmullet, Co. Mayo"
8052,Bonnybrook Pharmacy,Unit 1B,Northside Retail Park,,Coolock,Dublin 17,Dames JV Pharmacy Limited,,"Unit 1B
Northside Retail Park
Coolock, Dublin 17"
8054,Baxter's totalhealth Pharmacy,Main Street,,,Longford Town,Co. Longford,Baxters Pharmacy Longford Limited,,"Main Street
Longford Town, Co. Longford"
8055,O' Casey's Pharmacy,Unit 2 ,Block 2 Island Key,,East Road,Dublin 3,Island Key Pharmacy Limited,,"Unit 2 
Block 2 Island Key
East Road, Dublin 3"
8056,Zest Pharmacy,Kilmallock Business Park,,,Kilmallock,Co. Limerick,Barpat Pharma Limited,,"Kilmallock Business Park
Kilmallock, Co. Limerick"
8057,Greenlea Pharmacy,116 Greenlea Road,,,Terenure,Dublin 6W,Greenlea Pharmacy Limited,,"116 Greenlea Road
Terenure, Dublin 6W"
8058,Mooncoin Pharmacy,Centra Mooncoin,Main Street,,Mooncoin,Co. Kilkenny,Salva Pharma Consulting LTD,X91 EF9Y,"Centra Mooncoin
Main Street
Mooncoin, Co. Kilkenny X91 EF9Y"
8059,Thomas Court Pharmacy,St. Catherine's Lane West ,Thomas Court Primary Care Centre,,,Dublin 8,Thomas Court Pharmacy Limited ,,"St. Catherine's Lane West 
Thomas Court Primary Care Centre
Dublin 8"
8060,Meagher's Pharmacy ,96 - 98 Churchtown Road Upper,,,Churchtown,Dublin 16,Casluc Limited,,"96 - 98 Churchtown Road Upper
Churchtown, Dublin 16"
8061,Barry's Pharmacy,Main Street,,,Tubbercurry,Co. Sligo,Joan Barry Limited,,"Main Street
Tubbercurry, Co. Sligo"
8063,Staunton's Pharmacy,Supervalu Shopping Centre,New Antrim Street,,Castlebar,Co. Mayo,Staunton's Pharmacy Limited,,"Supervalu Shopping Centre
New Antrim Street
Castlebar, Co. Mayo"
8064,Lappin's Headfort Pharmacy,8 Farrell Street,,,Kells,Co. Meath,Headfort Medical Hall Limited,,"8 Farrell Street
Kells, Co. Meath"
8065,Slattery's Pharmacy,Friar Street,,,Nenagh,Co. Tipperary,Clover Dawn Limited,,"Friar Street
Nenagh, Co. Tipperary"
8066,Cara Pharmacy,3 Douglas East,Main Street,,Douglas,Co. Cork,Cara Pharmacies (Cork) Unlimited,,"3 Douglas East
Main Street
Douglas, Co. Cork"
8067,Rochford's Pharmacy,Francis Street,,,Ennis,Co. Clare,Claremed Limited,,"Francis Street
Ennis, Co. Clare"
8068,Magner's Pharmacy,Units 25-26,Edenmore Shopping Centre,,Edenmore,Dublin 5,MJMO LTD,,"Units 25-26
Edenmore Shopping Centre
Edenmore, Dublin 5"
8069,John F. McGuire Pharmacy Limited,6 - 8 Church Street,,,Listowel,Co. Kerry,John F. McGuire Pharmacy Limited,,"6 - 8 Church Street
Listowel, Co. Kerry"
8070,O'Connell's Pharmacy,Westport Primary Care Centre,Tubberhill,,Westport,Co. Mayo,O'Connells Medical Hall Limited,,"Westport Primary Care Centre
Tubberhill
Westport, Co. Mayo"
8071,O'Sullivan's Pharmacy,Unit 4 Centrepoint,John Joe Sheehy Road,,Tralee,Co. Kerry,OSPG Limited,,"Unit 4 Centrepoint
John Joe Sheehy Road
Tralee, Co. Kerry"
8072,McNally's Pharmacy 365 (Moynalty),Main Street,,,Moynalty,Co. Meath,H M Killapharm Limited,,"Main Street
Moynalty, Co. Meath"
8073,Kissane's Pharmacy,St. Lazerian's Street,,,Leighlinbridge,Co. Carlow,Kissane's Pharmacy Leighlinbridge Limited,R93 FH01,"St. Lazerian's Street
Leighlinbridge, Co. Carlow R93 FH01"
8074,Boots ,Units A & B Roselawn Shopping Centre ,Roselawn Road ,,Blanchardstown,Dublin 15,Boots Retail (Ireland) Limited,,"Units A & B Roselawn Shopping Centre 
Roselawn Road 
Blanchardstown, Dublin 15"
8075,Boots ,32 Upper Baggot Street,,,,Dublin 4,Boots Retail (Ireland) Limited,,"32 Upper Baggot Street
Dublin 4"
8076,Boots ,Unit B1,Nutgrove Shopping Centre,,Rathfarnham,Dublin 14,Boots Retail (Ireland) Limited,,"Unit B1
Nutgrove Shopping Centre
Rathfarnham, Dublin 14"
8077,Boots ,20 Henry Street,,,,Dublin 1,Boots Retail (Ireland) Limited,,"20 Henry Street
Dublin 1"
8078,Boots ,12 Grafton Street,,,,Dublin 2,Boots Retail (Ireland) Limited,,"12 Grafton Street
Dublin 2"
8079,Boots ,4-5 William Street,,,Limerick,Co. Limerick,Boots Retail (Ireland) Limited,,"4-5 William Street
Limerick, Co. Limerick"
8080,Boots ,37-39 Wilton Shopping Centre,Wilton,,Cork City,Co. Cork,Boots Retail (Ireland) Limited,,"37-39 Wilton Shopping Centre
Wilton
Cork City, Co. Cork"
8081,Boots ,Main Street,,,Tramore,Co. Waterford,Boots Retail (Ireland) Limited,,"Main Street
Tramore, Co. Waterford"
8082,Boots ,71 -72 Patrick Street,,,Cork City,Co. Cork,Boots Retail (Ireland) Limited,,"71 -72 Patrick Street
Cork City, Co. Cork"
8083,Boots ,Unit 113,St. Stephen's Green Shopping Centre,,,Dublin 2,Boots Retail (Ireland) Limited,,"Unit 113
St. Stephen's Green Shopping Centre
Dublin 2"
8084,Boots ,Units F4 - F6,Merchants Quay Shopping Centre,,Cork City,Co. Cork,Boots Retail (Ireland) Limited,,"Units F4 - F6
Merchants Quay Shopping Centre
Cork City, Co. Cork"
8086,Boots ,Level 3 Unit 319,The Square Shopping Centre,,Tallaght,Dublin 24,Boots Retail (Ireland) Limited,,"Level 3 Unit 319
The Square Shopping Centre
Tallaght, Dublin 24"
8087,Boots ,6 Lower Main Street,,,Letterkenny,Co. Donegal,Boots Retail (Ireland) Limited,,"6 Lower Main Street
Letterkenny, Co. Donegal"
8088,Boots ,Unit 9 & 10 Jervis Street Shopping Centre,Mary Street,,,Dublin 1,Boots Retail (Ireland) Limited,,"Unit 9 & 10 Jervis Street Shopping Centre
Mary Street
Dublin 1"
8089,Boots ,Units 3-4,Bloomfield Shopping Centre,,Dun Laoghaire,Co. Dublin,Boots Retail (Ireland) Limited,,"Units 3-4
Bloomfield Shopping Centre
Dun Laoghaire, Co. Dublin"
8090,Boots ,Unit B3,Golden Island Shopping Centre,,Athlone,Co. Westmeath,Boots Retail (Ireland) Limited,,"Unit B3
Golden Island Shopping Centre
Athlone, Co. Westmeath"
8091,Boots ,Units 18-19,Harbour Place Shopping Centre,,Mullingar,Co. Westmeath,Boots Retail (Ireland) Limited,,"Units 18-19
Harbour Place Shopping Centre
Mullingar, Co. Westmeath"
8092,Boots ,Units 1 and 2,Dublin Road,,Naas,Co. Kildare,Boots Retail (Ireland) Limited,,"Units 1 and 2
Dublin Road
Naas, Co. Kildare"
8093,Boots ,36-38 High Street,,,Kilkenny,Co. Kilkenny,Boots Retail (Ireland) Limited,,"36-38 High Street
Kilkenny, Co. Kilkenny"
